label,text,lang
0, 1234 RT @spardaxyz: Fadli Zon Minta Mendagri Segera Menonaktifkan Ahok Jadi Gubernur DKI https:\/\/t.co\/KH5vIRwPdO 1234,id
0,RT @baguscondromowo: Mereka terus melukai aksi dalam rangka memenjarakan Ahok atau Ahok gagal dalam Pilkada.,id
1,@fahmiabuazzam1 biar aja biar tai nya kena bapak lo itu ya. Loh tuh kan gak suka sm ahok jadi biar loh sm bpk loh sm ibu loh kena tai nya.,id
1,RT @BungWinar: Angin memporakporandakan basis pemenangan Si Penista Agama...Cililitan.\nYa Alloh Ampuni Kami\n#JakartaBanjir,id
1,barryswallows Merkel would never say NO,en
1,"PostApocalypticHero Expect more and more women to be asking .. ""why are men no longer interested in me""! We're not going touch you until you pull our pants down!",en
0,"californiamojo Groping people in public wasn't already illegal? What's up with that, Deutschland?",en
1,"MikeSte Merkel, possible the only person in charge who is worse than what we have. Obama is trying his hardest though to get to Merkel's level. ""A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" Sounds exactly like how Obama is trying to let all of the black people in this country get away with everything. ",en
1," 1234 scientist They know very well, no means NO! They need to pass a law making it legal to castrate those animals. 1234",en
1,AllaGranovskaya look like merkel just want to get laid,en
1,"ElCampeador "" but criticized two measures in the bill that could see people who aren't directly involved in the assault punished and foreigners deported for sexual harassment"" Sounds like some German Legislators have the same mental disease the Democrats and Republicans who opposed Kate's Law had. Deporting people who are not citizens for acting like savages - how cruel!! (sarcasm)",en
