,label,text,lang
0,0,rt spardaxyz fadli zon minta mendagri segera nonaktif ahok jadi gubernur dki http co kh virwpdo 1234,id
1,0,rt baguscondromowo teru luka aksi rangka penjara ahok ahok gagal pilkada,id
2,1,fahmiabuazzam biar aja biar tai nya kena bapak lo ya loh tuh kan gak suka sm ahok jadi biar loh sm bpk loh sm ibu loh kena tai nya,id
3,1,rt bungwinar angin memporakporandakan basi menang si nista agama cililitan nya alloh ampun jakartabanjir,id
4,1,barryswallow merkel would never say,en
5,1,postapocalyptichero expect women ask men longer interest go touch pull pant,en
6,0,californiamojo grope peopl public alreadi illeg deutschland,en
7,1,mikest merkel possibl person charg wors obama tri hardest though get merkel level year old iraqi man convict sexual assault given one year suspend sentenc year old algerian man convict abet sexual assault attempt assault given sentenc sound exactli like obama tri let black peopl countri get away everyth,en
8,1,scientist know well mean need pass law make legal castrat anim 1234,en
9,1,allagranovskaya look like merkel want get laid,en
10,1,elcampeador critic two measur bill could see peopl directli involv assault punish foreign deport sexual harass sound like german legisl mental diseas democrat republican oppos kate law deport peopl citizen act like savag cruel sarcasm,en
