,label,text,lang
0,0,rt spardaxyz fadli zon minta mendagri segera nonaktif ahok jadi gubernur dki https co kh virwpdo,id
1,0,rt baguscondromowo terus luka aksi rangka penjara ahok ahok gagal pilkada,id
2,0,sylvi bagaimana gurbernur laku keras perempuan bukti banyak ibu mau foto bareng debatfinalpilkadajkt,id
3,0,ahmad dhani tak puas debat pilkada masalah jalan bekas sempat ungkap https co hoppluid,id
4,0,rt lisdaulay waspada ktp palsu kawal pilkada https co oooerqv sm,id
5,0,felixsiauw bnyak agam yg bahas ke pilkada terus apa tingkat iman cuma batas pilkada,id
6,0,saidaqil apa maksud nyata apa amin kriminalisasi ahok hati jg dg mulut pak https co odvay md,id
7,0,ahok integrasi transportasi publik sistem single ticketing https co ph pqv infotribun,id
8,0,ahok mampu lawan korupsi ibukota bangun infrastruktur coba baik bagai trobosan works well,id
9,0,awas curang pilkada agus sylvi pakai aplikasi https co xwzw nufiu,id
10,0,gak seperti jokowi ahok aku kalem kamu tegas saling lengkap,id
11,0,bos mau makan istana ga undang noh makan istana gebang tapi https co ns cuycpuj,id
12,0,cuti habis ahok jadi gubernur dki amat jangan ada republika online https co kzvq,id
13,0,debat akhir pilkada dki jakarta gelar malam https co ixz jllr,id
14,0,demonstran fpd malteng desak bawaslu henti tahap pilkada malu tengah,id
15,0,dulu desak henti ahok ngeles usai masa cuti pilkada sekarang kampanye mau habis kemendagri ragu ragu https co ss trdcx,id
16,0,gila gara pilkada beberapa tokoh tampak watak asli,id
17,0,gontor izin santri pulang kampung nyoblos pilkada dki republika online https co jhnot ecnz,id
18,0,gubernur non aktif dki jakarta basuki tjahaja purnama ahok rencana rombak struktur jabat pegawai https co cdkezxf xo,id
19,0,hebat imam besar masjid istiqlal kalimat ahok ada nista agama sebar,id
20,0,ibu aja kalo beli telor pake milih sblm timbang pdh telor kan mirip ibu tahu telor yg busuk,id
21,0,jawab ahok tanya kait siap debat pilgub akhir besok https co rlsar,id
22,0,pesan ahok hari pers nasional kitapastipernah https co mrjm,id
23,0,istighotsah sama ahok catut logo nu https co rpy,id
24,0,yang ngomong jangan pilih ahok djarot pernah ngerasain banjir ga sih,id
25,0,iya aja deh dripada hoax,id
26,0,jadi ingat lacur belia yg jual orang tua sendiri pantura suap nasi https co ddr,id
27,0,jadi yg nyebar hoax tahu dong akun twitter nya lho,id
28,0,mpok sylviana murni nya mas agusyudhoyono,id
29,0,bidara beli mangga pulang nye liwat slip jangan lupa ingetin tetangga milih agus sylvi harilagimilihahy agusbersamaulama,id
30,0,serius ada selip hibur ud ude ud ude ud ude pilkadadki debatfinalpilkadajkt,id
31,0,sylvie sukses blunder bikin paslon drop elektabilitasnya fitnah spin salah pilih kader debatfinalpilkadajkt,id
32,0,ahok lomba program debatfinalpilkadajkt,id
33,0,debatfinalpilkadajkt aduh kecewa tanya paslon,id
34,0,rt agusdansylvi debatfinalpilkadajkt pilih nomor sektor informal maju mas agus mpok sylvi,id
35,0,rt jtmor ahok pilih baik jakarta,id
36,0,rt augustfrankto debatfinalpilkadajkt bu silvy curhat pernah marah sama pak ahok hehe,id
37,0,mantap pak ahok debatfinalpilkadajkt,id
38,0,ahok gagah kaya gatot kaca debatfinalpilkadajkt,id
39,0,telaaaakkk nomer satuuuu nghahahaha debatfinalpilkadajkt,id
40,0,lomba adu program debatfinalpilkadajkt skaksilvi,id
41,0,debatfinalpilkadajkt denger banyak program janji sering tau pas jadi ga jalan rasa males aja sih,id
42,0,debat cagub dki februari segmen mantap ahok skak sylviana murni debatfinalpilkadajkt,id
43,0,tanya ibu silvy rada maksa debatfinalpilkadajkt,id
44,0,tanggal pas pilkada sy gak milih siapa siapa ah,id
45,0,pribadi bakal prefer kok muslim kapabilitas lihat kondisi ahok jadi pilih plg realistis buat maju dki,id
46,0,dukung mas anies bukan arti anti pak ahok pula balik,id
47,0,spanduk tolak salat bela nista agama muncul kalibata https co sr pbytign,id
48,0,debatfinalpilkadajkt telak banget anjir ngakak,id
49,0,ayo lomba program jangan fitnah debatfinalpilkadajkt,id
50,0,rt deelestari akhir ngantuk yeay debatfinalpilkadajkt,id
51,0,duh bilang ga punya program paslon kesi kesi kesi debatfinalpilkadajkt,id
52,0,tuntut adil nista agama puluh jawara betawi ikut aksi jilid ii https co hwvuozyyov,id
53,0,keras nih ahok debatfinalpilkadajkt,id
54,0,paslon anies sandiaga uno feb utk jakarta indonesia raya oce,id
55,0,sesuai nama ronde final debatfinalpilkadajkt,id
56,0,mendagri tambah pusing ma emoh keluar fatwa status gubernur nista agama https co amqimni,id
57,0,adu program,id
58,0,genderang perang makin kencang debatfinalpilkadajkt,id
59,0,mpok sylvi udah mulai emosi ud ude debatfinalpilkadajkt,id
60,0,some people gabisa bedain kasar sama tegas debatfinalpilkadajkt,id
61,0,beliau pimpin hebat indonesia bangga https co nawbps xpt https co cc aiev,id
62,0,informasidki mungkin bu silvy jg ken foto sama pak ahok hihihi debatfinalpilkadajkt,id
63,0,debatfinalpilkadajkt mulai saling serang deh,id
64,0,rt inakinoy baca dulu lah biar dingin suasana debatfinalpilkadajkt https co em gckc qe,id
65,0,ayo lomba program jgn pitnah doank debatfinalpilkadajkt badjapastimenang,id
66,0,rt qronoz pokok kalo ahok udah ngomong aduuuuuuh kelar debatfinalpilkadajkt,id
67,0,senjata makan tuan debatfinalpilkadajkt debatfinaldki,id
68,0,ahok keras verbal masa koruptor elus debatfinalpilkadajkt,id
69,0,rt qronoz gak program mau serang serang karakter ahay ud ude debatfinalpilkadajkt,id
70,0,kait jakarta tak ramah anak apa tanggap pak aniesbaswedan https co ufa uwbci,id
71,0,emang oce anies sandi atas urbanisasi lapang kerja debatfinalpilkadajkt https co brceczskux,id
72,0,suporter mulai kampung paslon ngomong jg debatfinalpilkadajkt,id
73,0,mulai seru ni debatfinalpilkadajkt,id
74,0,debatfinalpilkadajkt nang nang tonjok,id
75,0,rt kafyonaa jadi debat akhir malam pilih jatuh paslon mana debatfinalpilkadajkt debat pilkadadki,id
76,0,rt magendajuang wkwkwk udah dah pilih anies sandi aja debatfinalpilkadajkt https co hmxhjyhbnj,id
77,0,fitnah lebih kejam loh bunuh debatfinalpilkadajkt,id
78,0,debatsehat jangan coba pakai datasesat debatfinalpilkadajkt debatfinaldikompastv,id
79,0,rt prastow apa berani ahok bongkar mafia anggar jadi tonggak penting tuju apbd yg kredibel akuntabel,id
80,0,rt sydsalesman ini wujud nasional is me dagang pandji hebat https co fyig xl,id
81,0,pak dosen makin liat asli,id
82,0,rt gabriellaandini dulu awal kampanye bukan uda deklarasi anti sara tadi gw pikir no lebih mending no,id
83,0,debatfinalpilkadajkt mateng mpok silvy bombardir pak ahok jawab cerdas pak ahok,id
84,0,debatfinalpilkadajkt mohon tenang,id
85,0,yg no nih ngomongin yg luar program mulu ngga bhan bwt serang lawan cape dehh debatfinaldki debatfinalpilkadajkt,id
86,0,cinta pak ahok pokok debatfinalpilkadajkt,id
87,0,debatfinalpilkadajkt cuma ibu ken foto sama ahok bapak lho,id
88,0,mas agus aku malam rambut kamu bagus debatfinalpilkadajkt,id
89,0,rt republikaonline ahok janji berani tutup tempat hibur malam jual narkoba,id
90,0,agus sylvi sisip bahasa jawa debat https co fgtfxgainx,id
91,0,rt hariadhi ahok udah perhati sandang disabilitas jauuuh kandidat janji nobarahokdjarot badjapastijuara,id
92,0,ahok keren debatfinalpilkadajkt,id
93,0,gimana tim ahok kok makin sudut mungkin ini final kali,id
94,0,nih fakta buat yg asbun badjapastimenang debatfinalpilkadajkt,id
95,0,siap siap meme cctv debatfinalpilkadajkt debat pilkadadki debatfinaldki,id
96,0,nyinyir tingkat nasional debatfinalpilkadajkt,id
97,0,drama bgt debatfinalpilkadajkt,id
98,0,judul debat nyerang paslon debatfinalpilkadajkt,id
99,0,lha kok serang gitu debatfinalpilkadajkt,id
100,0,debat sama antem beda tipis debatfinalpilkadajkt,id
101,0,orang tegas bilang maki maki orang debatfinalpilkadajkt,id
102,0,perempuan beda kaum perempuan debatfinalpilkadajk,id
103,0,mantap oce anies sandi atas urbanisasi lapang kerja,id
104,0,rt wisnudewobroto ga seru nih selalu ungkit masa lalu keras verbal semua pernah laku manusia biasa debatfinalpilkadajkt,id
105,0,satu perempuan bukan semua perempuan debatfinalpilkadajkt,id
106,0,debatfinalpilkadajkt tanya paslon dpt kategori sbg keras debat,id
107,0,jokowi pak maaf biar malam saja memposting ujar benci malam saja pak xoxo debatfinalpilkadajkt,id
108,0,moga allah menang pak anies sandi https co sns rxrw,id
109,0,debatfinalpilkadajkt non muslim coblos ahok muslim coblos djarot bagaimana,id
110,0,debatfinalpilkadajkt pimpin dapat cipta suasana damai tentram bukan adu domba hasut,id
